movie_tip,movie_grade,movie_desc,movie_name,comment_num
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...,搏击俱乐部/FightClub/搏击会(港)/斗阵俱乐部(台),445547
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.1,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore主演:金妮弗·...,疯狂动物城/Zootopia/优兽大都会(港)/动物方城市(台),621609
史诗的终章。,9.1,导演:彼得·杰克逊PeterJackson主演:维果·莫腾森ViggoMortensen/...,指环王3：王者无敌/TheLordoftheRings:TheReturnoftheKing/魔戒三部曲：王者再临(台/港),326469
对天空的追逐，永不停止。,9.0,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka/横泽启子Ke...,天空之城/天空の城ラピュタ/TenkûnoshiroRapyuta/Laputa:CastleintheSky,384067
旷古烁今。,8.9,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...,大话西游之月光宝盒/西遊記第壹佰零壹回之月光寶盒/西游记101回月光宝盒/齐天大圣东游记,474232
爱情哪怕只有一天。,8.9,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn/格...,罗马假日/RomanHoliday/金枝玉叶(港)/罗马假期(台),441877
最后那些最无聊的事情，才是最值得怀念的。,8.9,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson主演:爱德...,飞屋环游记/Up/冲天救兵(港)/天外奇迹(台),576469
比利·怀德满分作品。,9.6,导演:比利·怀尔德BillyWilder主演:查尔斯·劳顿CharlesLaughton/...,控方证人/WitnessfortheProsecution/雄才伟略/情妇,122223
别样人生。,9.1,导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck...,窃听风暴/DasLebenderAnderen/他人的生活/别人的生活,259922
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1,导演:GuyRitchie主演:JasonFlemyng/DexterFletcher/NickMoran,"两杆大烟枪/Lock,StockandTwoSmokingBarrels/够姜四小强(港)/两根枪管(台)",305626
自由万岁。,9.0,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...,飞越疯人院/OneFlewOvertheCuckoo'sNest/飞越杜鹃窝(台)/飞越喜鹊巢,310321
史上最美的探戈。,8.9,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino/克里斯...,闻香识女人/ScentofaWoman/女人香/女人的芳香,373764
带着心爱的人在天空飞翔。,8.9,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô/木村拓...,哈尔的移动城堡/ハウルの動く城/呼啸山城/霍尔的移动城堡,411312
电影的现实意义大过电影本身。,9.2,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong/吴达洙Dal-suO...,辩护人/변호인/逆权大状(港)/正义辩护人(台),252206
海豚的微笑，是世界上最高明的伪装。,9.3,导演:LouiePsihoyos主演:JohnChisholm/Mandy-RaeCruikshank/Char...,海豚湾/TheCove/血色海湾(台)/海湾,202270
一张面具背后的理想与革命。,8.8,导演:詹姆斯·麦克特格JamesMcTeigue主演:娜塔莉·波特曼NataliePor...,V字仇杀队/VforVendetta/V煞(港)/V怪客(台),483812
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.0,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...,死亡诗社/DeadPoetsSociety/暴雨骄阳(港)/春风化雨(台),321767
优雅的孤独。,9.1,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...,教父2/TheGodfather:PartⅡ/教父续集/教父II,216201
爱是一切逻辑和原由。,8.9,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/艾德·哈...,美丽心灵/ABeautifulMind/有你终生美丽(港)/美丽境界(台),345840
承前启后的史诗篇章。,9.0,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...,指环王2：双塔奇兵/TheLordoftheRings:TheTwoTowers/魔戒二部曲：双城奇谋/指环王II：双塔,306828
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.1,导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan/法缇玛...,摔跤吧！爸爸/Dangal/我和我的冠军女儿(台)/打死不离3父女(港),552738
传说的开始。,8.9,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...,指环王1：魔戒再现/TheLordoftheRings:TheFellowshipoftheRing/魔戒首部曲：魔戒现身/指环王I：护戒使者,343428
人生不能像做菜，把所有的料都准备好了才下锅。,9.1,导演:李安AngLee主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...,饮食男女/飲食男女/EatDrinkManWoman,235048
暗恋的极致。,8.8,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/丰川悦司Ets...,情书/LoveLetter/WhenICloseMyEyes/LettersofLove,425723
往事如烟，无处祭奠。,9.1,导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...,美国往事/OnceUponaTimeinAmerica/四海兄弟(台)/义薄云天(港),198438
动物版《哈姆雷特》。,8.9,导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...,狮子王/TheLionKing/狮子王3D,321076
音乐能化解仇恨。,9.0,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...,钢琴家/ThePianist/战地琴声(台)/战地琴人,227804
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.1,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...,素媛/소원/许愿/希望：为爱重生(台),217351
奔跑的孩子是天使。,9.2,导演:马基德·马基迪MajidMajidi主演:AmirFarrokhHashemian/默罕...,小鞋子/بچههایآسمان/天堂的孩子/小童鞋,161100
法式小清新。,8.7,导演:让-皮埃尔·热内Jean-PierreJeunet主演:奥黛丽·塔图AudreyTau...,天使爱美丽/Lefabuleuxdestind'AméliePoulain/艾蜜莉的异想世界(台)/天使艾米莉,535627
警察抓小偷，老鼠玩死猫。,8.7,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman/布...,七宗罪/Se7en/火线追缉令(台)/7宗罪,482581
以戏谑来戏谑戏谑。,8.9,导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani/瑛太E...,被嫌弃的松子的一生/嫌われ松子の一生/花样奇缘(港)/令人讨厌的松子的一生(台),335988
孪生蝙蝠侠大战克隆金刚狼。,8.8,导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...,致命魔术/ThePrestige/顶尖对决(台)/死亡魔法(港),389159
在时间之河里感受溺水之苦。,8.8,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett/...,本杰明·巴顿奇事/TheCuriousCaseofBenjaminButton/奇幻逆缘(港)/返老还童,441792
用音乐化解仇恨，让歌声串起美好。,8.9,导演:RobertWise主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...,音乐之声/TheSoundofMusic/仙乐飘飘处处闻(港)/真善美(台),259552
史诗大片的典范。,8.8,导演:梅尔·吉布森MelGibson主演:梅尔·吉布森MelGibson/苏菲·玛...,勇敢的心/Braveheart/惊世未了缘(港)/梅尔吉勃逊之英雄本色(台),323383
美丽无罪。,8.8,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...,西西里的美丽传说/Malèna/真爱伴我行(台)/玛莲娜,403889
视觉革命。,8.8,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...,黑客帝国/TheMatrix/廿二世纪杀人网络(港)/骇客任务(台),319428
故事的高级讲法。,8.8,导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...,低俗小说/PulpFiction/黑色追緝令(台)/危险人物(港),379174
浪漫忧郁的成人童话。,8.7,导演:TimBurton主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...,剪刀手爱德华/EdwardScissorhands/幻海奇缘(港)/剪刀手爱德华,540703
美利坚精神输出大片No1.,8.9,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,拯救大兵瑞恩/SavingPrivateRyan/雷霆救兵(港)/抢救雷恩大兵(台),273007
你给我翻译翻译，神马叫做TMD的惊喜。,8.7,导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...,让子弹飞/让子弹飞一会儿/火烧云,711215
安东尼·霍普金斯的顶级表演。,8.7,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster/安...,沉默的羔羊/TheSilenceoftheLambs/沉默的羔羊,396024
你以为你以为的就是你以为的。,8.7,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas/阿...,看不见的客人/Contratiempo/佈局(台)/死无对证(港),409779
人的命运被自己瞬间的抉择改变。,8.7,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber主...,蝴蝶效应/TheButterflyEffect/蝴蝶效应,428713
死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8,导演:泷田洋二郎YôjirôTakita主演:本木雅弘MasahiroMotoki/...,入殓师/おくりびと/礼仪师之奏鸣曲(港)/礼仪师(台),346528
爱情纠缠，男女一致。,8.8,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/梁朝伟TonyLeu...,春光乍泄/春光乍洩/一起快乐/HappyTogether,281575
经典之作，历久弥新。,9.3,导演:万籁鸣LaimingWan/唐澄ChengTang主演:邱岳峰YuefengQiu/...,大闹天宫/大闹天宫上下集/TheMonkeyKing,118134
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.0,导演:贝纳尔多·贝托鲁奇BernardoBertolucci主演:尊龙JohnLone/陈...,末代皇帝/TheLastEmperor/末代皇帝溥仪(港),202074
